"id","name","category","description","materials","specs","lead_time","featured"
"cnc-001","Fresado CNC Vertical — Mesa Grande","Maquinados CNC","Fresado de piezas de gran formato en centros verticales Mazak, con mesa de trabajo de hasta 2 metros. Ideal para moldes, placas base y componentes estructurales de gran tamaño.","Aluminio 6061, Acero 4140, Acero A36, D2","Mesa hasta 2000 × 800 mm; Tolerancia ±0.001″; 3 y 4 ejes","3-5 días","TRUE"
"cnc-002","Fresado CNC de Precisión — Prototipos y Lotes Cortos","Maquinados CNC","Mecanizado de piezas pequeñas y medianas para prototipos, preseries y lotes cortos, con cambio rápido de montaje entre corridas.","Aluminio 6061, Aluminio 7075, Latón, Nylamid, Acero 1018","Área de trabajo hasta 500 × 400 mm; Tolerancia ±0.001″","24-48 hrs","FALSE"
"cnc-003","Torneado CNC de Alta Precisión","Maquinados CNC","Torneado de piezas únicas y de gran formato en centros Okuma, para componentes cilíndricos con acabado y tolerancia crítica.","Acero 4140, Acero inoxidable 304, Acero inoxidable 316, Aluminio 6061, Latón","Diámetro hasta 14″; Tolerancia ±0.0005″","3-5 días","TRUE"
"cnc-004","Torneado de Flechas Largas","Maquinados CNC","Torneado entre centros para flechas y ejes de gran longitud, con luneta de soporte para control de vibración y rectitud.","Acero 4140, Acero 1045, Acero inoxidable 304","Longitud hasta 1200 mm entre centros; Tolerancia ±0.001″; Concentricidad certificada","5-7 días","FALSE"
"cnc-005","Mecanizado Combinado Fresado-Torneado","Maquinados CNC","Piezas que requieren operaciones de fresado y torneado en la misma corrida, con transferencia directa entre centros Mazak y Okuma para mantener referencia de origen.","Aluminio 6061, Acero 4140, D2","Tolerancia ±0.001″; Volteo controlado; Trazabilidad por lote","5-7 días","FALSE"
"her-001","Shims / Lainas a Medida","Herramental y Troqueles","Fabricación de shims y lainas de precisión, cortados y rectificados a espesor exacto, para ajuste de troqueles y ensambles.","D2, H13, Vanadis, Acero inoxidable 304","Espesor desde 0.05 mm; Tolerancia ±0.001″; Dureza hasta 63 HRC","<24 hrs","TRUE"
"her-002","Piezas de Desgaste para Troqueles","Herramental y Troqueles","Fabricación de insertos, guías y piezas de desgaste endurecidas para prolongar la vida útil de troqueles de producción.","D2, H13, Vanadis","Dureza hasta 63 HRC; Tolerancia ±0.001″; Rectificado de acabado incluido","3-5 días","TRUE"
"her-003","Afilado y Reparación de Punzones y Matrices","Herramental y Troqueles","Reacondicionamiento de punzones, matrices y componentes de corte desgastados, devolviendo geometría y filo a especificación original.","D2, H13, M2, Vanadis","Tolerancia ±0.0005″ en filo; Rectificado plano y de perfil","24-48 hrs","FALSE"
"her-004","Diseño y Fabricación de Herramental Especial (Jigs / Fixtures)","Herramental y Troqueles","Diseño y maquinado de dispositivos de sujeción, plantillas de inspección y herramental a la medida del proceso del cliente.","Acero 1018, Aluminio 6061, D2","Tolerancia ±0.001″; Incluye validación dimensional","7-10 días","FALSE"
"est-001","Estampado en Prensa 60-150T","Estampado y Ensamble","Corte y formado de piezas metálicas en prensas de 60 a 150 toneladas, para componentes de calibre medio en volumen medio-alto.","Acero al carbón, Acero galvanizado, Aluminio, Acero inoxidable","Calibre 0.5-3 mm; Prensas 60-150T; Troquel progresivo o de línea","5-7 días","FALSE"
"est-002","Estampado en Prensa 150-300T","Estampado y Ensamble","Formado y embutido de piezas de mayor calibre y complejidad geométrica en prensas de alta capacidad.","Acero al carbón, Acero HSLA, Acero inoxidable","Calibre hasta 6 mm; Prensas 150-300T","5-7 días","FALSE"
"est-003","Sub-Ensambles Industriales","Estampado y Ensamble","Integración de componentes maquinados, estampados y de compra en sub-ensambles listos para instalar en la línea de producción del cliente.","Combinación según BOM del cliente","Control de torque documentado; Inspección dimensional 100% en puntos críticos","5-10 días","TRUE"
"aca-001","Anodizado Tipo II y Tipo III","Acabados y Tratamientos","Anodizado de piezas de aluminio para protección anticorrosiva, aislamiento eléctrico o resistencia al desgaste, en color natural o negro.","Aluminio 6061, Aluminio 7075","Espesor de capa 8-25 micras; Tipo II decorativo y Tipo III duro","3-5 días","FALSE"
"aca-002","Pavonado (Bruñido Negro)","Acabados y Tratamientos","Tratamiento de conversión química para protección anticorrosiva ligera y acabado mate negro en componentes de acero.","Acero 1018, Acero 4140, D2, H13","Espesor de capa <1 micra; No altera dimensión de la pieza","24-48 hrs","FALSE"
"aca-003","Rectificado Plano y Cilíndrico","Acabados y Tratamientos","Rectificado de precisión para acabado superficial fino y control estricto de planitud, paralelismo o cilindricidad.","D2, H13, Vanadis, Acero 4140, Acero inoxidable","Tolerancia ±0.0002″; Acabado superficial hasta Ra 0.2 µm","24-48 hrs","FALSE"
